President,Position,Appointee,Start Date,End Date,Length of Tenure,Day of Admin of Departure
Bush 43,Secretary of Commerce,Carlos Gutierrez,2/7/2005,1/19/2009,1442,2922
Bush 43,Secretary of the Interior,Dirk Kempthorne,5/29/2006,1/19/2009,966,2922
Bush 43,Attorney General,Michael Mukasey,11/9/2007,1/20/2009,438,2923
Bush 43,Chief of Staff,Josh Bolten,4/14/2006,1/20/2009,1012,2923
Bush 43,EPA Administrator,Stephen Johnson,5/2/2005,1/20/2009,1359,2923
Bush 43,Secretary of Agriculture,Ed Schafer,1/28/2008,1/20/2009,358,2923
Bush 43,Secretary of Education,Margaret Spellings,1/24/2005,1/20/2009,1457,2923
Bush 43,Secretary of Energy,Samuel Bodman,2/1/2005,1/20/2009,1449,2923
Bush 43,Secretary of Health & Human Services,Mike Leavitt,1/26/2005,1/20/2009,1455,2923
Bush 43,Secretary of Housing & Urban Development,Steve Preston,6/5/2008,1/20/2009,229,2923
Bush 43,Secretary of Labor,Elaine Chao,1/29/2001,1/20/2009,2913,2923
Bush 43,Secretary of State,Condoleezza Rice,1/26/2005,1/20/2009,1455,2923
Bush 43,Secretary of the Treasury,Hank Paulson,7/10/2006,1/20/2009,925,2923
Bush 43,Secretary of Transportation,Mary Peters,10/17/2006,1/20/2009,826,2923
Bush 43,Secretary of Veterans Affairs,James Peake,12/20/2007,1/20/2009,397,2923
Bush 43,U.S. Trade Representative,Susan Schwab,6/8/2006,1/20/2009,957,2923
Bush 43,Vice President,Dick Cheney,1/20/2001,1/20/2009,2922,2923
Bush 43,Secretary of Homeland Security,Michael Chertoff,2/15/2005,1/21/2009,1436,2924
Bush 43,UN Ambassador,Zalmay Khalilzad,4/30/2007,1/22/2009,633,2925
Bush 43,Director of National Intelligence,Mike McConnell,2/13/2007,1/27/2009,714,2930
Bush 43,CIA Director,Michael Hayden,5/30/2006,2/12/2009,989,2946
Bush 43,Secretary of Defense,Bob Gates,12/18/2006,Obama admin,1655 combined,#VALUE!
Obama,Director of National Intelligence,Dennis Blair,1/29/2009,5/28/2010,484,494
Obama,OMB Director,Peter Orszag,1/20/2009,7/30/2010,556,557
Obama,Chief of Staff,Rahm Emanuel,1/20/2009,10/1/2010,619,620
Obama,CIA Director,Leon Panetta,2/13/2009,6/30/2011,867,892
Obama,Secretary of Defense,Bob Gates,Bush admin,6/30/2011,1655 combined,892
Obama,Secretary of Commerce,Gary Locke,3/26/2009,8/1/2011,858,924
Obama,OMB Director,Jack Lew,11/18/2010,1/26/2012,434,1102
Obama,Chief of Staff,Bill Daley,1/13/2011,1/27/2012,379,1103
Obama,Secretary of Commerce,John Bryson,10/21/2011,6/21/2012,244,1249
