person_id,candidate_id,race_id,Ballotpedia url,Candidate,incumbent,State,District,Office Type,Race Type,Race Primary Election Date,Primary Results Votes,Primary Status,Primary Runoff Status,General Status,Gender,Date Born,Partisan Lean,Primary %,Race,Religion,Veteran?,LGBTQ?,Elected Official?,Self-Funder?,STEM?,Bush Alum?,Trump Alum?,Support Tariffs?,Support the Wall?,Party Support?,Trump Endorsed?,Bannon Endorsed?,Great America Endorsed?,NRA Endorsed?,Right to Life Endorsed?,Susan B. Anthony Endorsed?,ALIPAC Endorsed?,Club for Growth Endorsed?,Koch Support?,House Freedom Support?,Tea Party Endorsed?,Main Street Endorsed?,Chamber Endorsed?,No Labels Support?
50775,16840,5384,https://ballotpedia.org/Sean_Flynn,Sean Flynn,No,CA,U.S. House California District 31,Representative,Regular,6/5/18,26052,Advanced,None,On the Ballot,Male,,,100,,,,,,Yes,,,,,,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
32197,10650,1026,https://ballotpedia.org/Kenneth_Wright,Kenneth Wright,No,CA,U.S. House California District 33,Representative,Regular,6/5/18,32368,Advanced,None,On the Ballot,Male,,,100,,,,,,No,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
96067,23885,9066,https://ballotpedia.org/Ron_Bassilian,Ron Bassilian,No,CA,U.S. House California District 34,Representative,Regular,6/5/18,7774,Advanced,None,On the Ballot,Male,,,100,,,,,,No,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
296000,30620,14924,https://ballotpedia.org/Christian_Valiente,Christian Valiente,No,CA,U.S. House California District 35,Representative,Regular,6/5/18,13456,Advanced,None,On the Ballot,Male,None,,100,,,,,,No,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
291620,26793,16484,https://ballotpedia.org/Kimberlin_Brown_Pelzer,Kimberlin Brown Pelzer,No,CA,U.S. House California District 36,Representative,Regular,6/5/18,16539,Advanced,None,On the Ballot,Female,,,51.61,,,,,,No,,,,,,Yes,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
52039,17261,16484,https://ballotpedia.org/Stephan_Wolkowicz,Stephan Wolkowicz,No,CA,U.S. House California District 36,Representative,Regular,6/5/18,3528,Lost,None,None,Male,,,10.41,,,,,,No,,,,,,No,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
291704,26850,16484,https://ballotpedia.org/Dan_Ball_(California),Dan Ball,No,CA,U.S. House California District 36,Representative,Regular,6/5/18,5783,Lost,None,None,Male,,,17.39,,,,,,No,,,,,,No,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
296424,31030,16484,https://ballotpedia.org/Doug_Hassett,Doug Hassett,No,CA,U.S. House California District 36,Representative,Regular,6/5/18,3683,Lost,None,None,Male,None,,11.21,,,,,,No,,,,,,No,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
297597,32108,16484,https://ballotpedia.org/Robert_Bentley_(California),Robert Bentley,No,CA,U.S. House California District 36,Representative,Regular,6/5/18,3184,Lost,None,None,Male,None,,9.38,,,,,,No,,,,,,No,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
49444,16393,5711,https://ballotpedia.org/Ryan_Downing,Ryan Downing,No,CA,U.S. House California District 38,Representative,Regular,6/5/18,22809,Advanced,None,On the Ballot,Male,,,100,,,,,,No,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
58796,19509,8137,https://ballotpedia.org/Young_Kim_(California),Young Kim,No,CA,U.S. House California District 39,Representative,Regular,6/5/18,18637,Advanced,None,On the Ballot,Female,,,39.79,,,,,,No,,,,,,Yes,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,Yes,Yes,N/A,N/A
4966,1656,8137,https://ballotpedia.org/Bob_Huff,Bob Huff,No,CA,U.S. House California District 39,Representative,Regular,6/5/18,5330,Lost,None,None,Male,,,11.53,,,,,,No,,,,,,No,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,No,No,N/A,N/A
27553,9069,8137,https://ballotpedia.org/John_Cullum,John Cullum,No,CA,U.S. House California District 39,Representative,Regular,6/5/18,1110,Lost,None,None,Male,,,2.24,,,,,,No,,,,,,No,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,No,No,N/A,N/A
