year,state,chamber,district,metric,value,pct
2020,AZ,,30,hispanic_vap,87544,52.39
2020,AZ,,30,native_vap,3774,2.26
2020,AZ,,30,other_vap,886,0.53
2020,AZ,,30,pacisl_vap,261,0.16
2020,AZ,,30,pvi,D+25.2,
2020,AZ,,30,total_pop,231370,
2020,AZ,,30,total_vap,167111,100
2020,AZ,,30,trump_2020,,32.41
2020,AZ,,30,two_plus_vap,4275,2.56
2020,AZ,,30,white_vap,48388,28.96
2020,AZ,,statewide,efficiency_gap,R+8.5,
2020,AZ,,statewide,median,R+0.1,
2022,AZ,,1,asian_vap,2513,1.25
2022,AZ,,1,biden_2020,,35.03
2022,AZ,,1,black_vap,1192,0.59
2022,AZ,,1,hispanic_vap,23645,11.78
2022,AZ,,1,native_vap,2473,1.23
2022,AZ,,1,other_vap,896,0.45
2022,AZ,,1,pacisl_vap,214,0.11
2022,AZ,,1,pvi,R+35.7,
2022,AZ,,1,total_pop,237896,
2022,AZ,,1,total_vap,200724,100
2022,AZ,,1,trump_2020,,63.52
2022,AZ,,1,two_plus_vap,7229,3.6
2022,AZ,,1,white_vap,162562,80.99
2022,AZ,,10,asian_vap,4254,2.24
2022,AZ,,10,biden_2020,,39.06
2022,AZ,,10,black_vap,4434,2.34
2022,AZ,,10,hispanic_vap,28691,15.12
2022,AZ,,10,native_vap,1705,0.9
2022,AZ,,10,other_vap,657,0.35
2022,AZ,,10,pacisl_vap,366,0.19
2022,AZ,,10,pvi,R+28.7,
2022,AZ,,10,total_pop,235579,
2022,AZ,,10,total_vap,189789,100
2022,AZ,,10,trump_2020,,59.3
2022,AZ,,10,two_plus_vap,5735,3.02
2022,AZ,,10,white_vap,143947,75.85
2022,AZ,,11,asian_vap,5626,3.29
2022,AZ,,11,biden_2020,,75.08
2022,AZ,,11,black_vap,26038,15.23
2022,AZ,,11,hispanic_vap,91948,53.8
2022,AZ,,11,native_vap,4368,2.56
2022,AZ,,11,other_vap,791,0.46
2022,AZ,,11,pacisl_vap,545,0.32
2022,AZ,,11,pvi,D+45.6,
2022,AZ,,11,total_pop,237844,
2022,AZ,,11,total_vap,170914,100
2022,AZ,,11,trump_2020,,23.31
2022,AZ,,11,two_plus_vap,3930,2.3
2022,AZ,,11,white_vap,37668,22.04
